h_pwm,v_pwm,distance_cm,h_angle_deg,v_angle_deg,x_cm,y_cm,z_cm
1200,1011,5,0.0,-24.3,4.557016383177227,0.0,-2.057571793025544
1200,1026,7,0.0,-22.37142857142857,6.473151617115684,0.0,-2.6642650284520495
1200,1042,14,0.0,-20.314285714285713,13.129233642557606,0.0,-4.8603728210018575
1200,1057,9,0.0,-18.385714285714286,8.540592154126971,0.0,-2.838711971451984
1200,1073,8,0.0,-16.32857142857143,7.67732171072005,0.0,-2.249162366328087
1200,1088,14,0.0,-14.4,13.560164255800835,0.0,-3.481658420307967
1200,1104,9,0.0,-12.342857142857143,8.79197359288183,0.0,-1.9238503949290302
1200,1120,4,0.0,-10.285714285714286,3.9357183543945187,0.0,-0.7142275791945467
1200,1135,20,0.0,-8.357142857142858,19.787626521060734,0.0,-2.9068602757982545
1200,1151,14,0.0,-6.3,13.915453376372517,0.0,-1.5362803552746338
1200,1166,5,0.0,-4.371428571428571,4.985454426953513,0.0,-0.3811091139944253
1200,1182,22,0.0,-2.3142857142857145,21.98205587349144,0.0,-0.8883803097212699
1200,1197,5,0.0,-0.38571428571428573,4.999886701397774,0.0,-0.03365966704660913
1200,1213,1,0.0,1.6714285714285715,0.9995745293723137,0.0,0.02916779439926065
1200,1228,4,0.0,3.6,3.9921069137130862,0.0,0.2511620781172535
1200,1244,5,0.0,5.6571428571428575,4.975647912929556,0.0,0.4928771110122176
1200,1260,5,0.0,7.714285714285714,4.954748808839674,0.0,0.6711663290882773
1200,1275,1,0.0,9.642857142857142,0.9858710185182359,0.0,0.1675062233047364
1200,1291,28,0.0,11.7,27.418238697409443,0.0,5.678044269982349
1200,1306,28,0.0,13.628571428571428,27.21162142933985,0.0,6.597549483428847
1200,1322,35,0.0,15.685714285714285,33.69657151194113,0.0,9.462614244522353
1200,1337,37,0.0,17.614285714285714,35.26526415560736,0.0,11.196479091001535
1200,1353,38,0.0,19.67142857142857,35.78226396992699,0.0,12.791778030690844
1200,1368,44,0.0,21.6,40.91016537908306,0.0,16.19748031812583
1200,1384,56,0.0,23.65714285714286,51.293927629737325,0.0,22.470714014362557
1200,1400,64,0.0,25.714285714285715,57.662007545754825,0.0,27.76855930352372
1203,1011,5,0.85,-24.3,4.556514924424995,0.06760221917906037,-2.057571793025544
1203,1026,14,0.85,-22.37142857142857,12.944878609757819,0.1920552298275663,-5.328530056904099
1203,1042,9,0.85,-20.314285714285713,8.439292856722165,0.12520861554917564,-3.124525384929765
1203,1057,5,0.85,-18.385714285714286,4.744251299230591,0.07038754870568135,-1.5770622063622133
1203,1073,5,0.85,-16.32857142857143,4.797798056482687,0.0711819891234401,-1.4057264789550543
1203,1088,20,0.85,-14.4,19.369531544902095,0.28737386766256157,-4.973797743297096
1203,1104,8,0.85,-12.342857142857143,7.814227657865617,0.11593490630534259,-1.7100892399369156
1203,1120,5,0.85,-10.285714285714286,4.919106579892498,0.0729817693335034,-0.8927844739931834
1203,1135,5,0.85,-8.357142857142858,4.946362267590654,0.07338614526647137,-0.7267150689495636
1203,1151,14,0.85,-6.3,13.913922105624268,0.20643233423480656,-1.5362803552746338
1203,1166,17,0.85,-4.371428571428571,16.948679796295792,0.2514571740439299,-1.2957709875810461
1203,1182,15,0.85,-2.3142857142857145,14.986116099231015,0.22233981935457106,-0.6057138475372295
1203,1197,17,0.85,-0.38571428571428573,16.997744129722566,0.2521851114867355,-0.11444286795847104
1203,1213,22,0.85,1.6714285714285715,21.988219773671144,0.32622573988049586,0.6416914767837343
1203,1228,58,0.85,3.6,57.87918046357692,0.8587179255419389,3.6418501327001755
1203,1244,5,0.85,5.6571428571428575,4.975100387534833,0.07381251513806915,0.4928771110122176
1203,1260,15,0.85,7.714285714285714,14.862610749611338,0.22050744618049886,2.013498987264832
1203,1275,15,0.85,9.642857142857142,14.786437983917523,0.21937731754330178,2.512593349571046
1203,1291,15,0.85,11.7,14.686725839104607,0.21789794956574435,3.041809430347687
1203,1306,5,0.85,13.628571428571428,4.858683399041947,0.07208530763347497,1.1781338363265799
1203,1322,54,0.85,15.685714285714285,51.98327512459844,0.7712439917141213,14.59946197726306
1203,1337,49,0.85,17.614285714285714,46.697507917849215,0.6928223033916049,14.827769607002034
1203,1353,49,0.85,19.67142857142857,46.13521042615279,0.684479840147661,16.494661144838194
1203,1368,47,0.85,21.6,43.694686099558524,0.6482712765470326,17.301853976179864
1203,1384,62,0.85,23.65714285714286,56.78345639267263,0.8424613390872392,24.8782905159014
1203,1400,66,0.85,25.714285714285715,59.45740180809011,0.8821330283155385,28.636326781758836
1207,1011,5,1.9833333333333334,-24.3,4.554286441397963,0.15771279670443974,-2.057571793025544
1207,1026,5,1.9833333333333334,-22.37142857142857,4.62090984916208,0.16001993396944542,-1.903046448894321
1207,1042,5,1.9833333333333334,-20.314285714285713,4.686202999666302,0.162281005051418,-1.735847436072092
1207,1057,22,1.9833333333333334,-18.385714285714286,20.864496394763286,0.7225276935452816,-6.939073707993739
1207,1073,24,1.9833333333333334,-16.32857142857143,23.018167524562127,0.7971083114824188,-6.747487098984261
1207,1088,7,1.9833333333333334,-14.4,6.776020428772864,0.23465039937631874,-1.7408292101539835
1207,1104,18,1.9833333333333334,-12.342857142857143,17.57341328638072,0.608559033934484,-3.8477007898580604
1207,1120,5,1.9833333333333334,-10.285714285714286,4.9167007619146625,0.17026303411043023,-0.8927844739931834
1207,1135,7,1.9833333333333334,-8.357142857142858,6.921520367306323,0.2396889937909889,-1.017401096529389
1207,1151,5,1.9833333333333334,-6.3,4.966827549073174,0.17199890116541292,-0.5486715554552264
1207,1166,24,1.9833333333333334,-4.371428571428571,23.915845553367696,0.8281944792684743,-1.8293237471732415
1207,1182,5,1.9833333333333334,-2.3142857142857145,4.992928915480758,0.17290277920359,-0.20190461584574315
1207,1197,13,1.9833333333333334,-0.38571428571428573,12.991917775758925,0.44990399996450714,-0.08751513432118374
1207,1213,28,1.9833333333333334,1.6714285714285715,27.971320183660815,0.9686336576419592,0.8166982431792982
1207,1228,14,1.9833333333333334,3.6,13.964003859846605,0.48356688369649214,0.8790672734103873
1207,1244,23,1.9833333333333334,5.6571428571428575,22.874269047863052,0.7921251749375964,2.2672347106562007
1207,1260,19,1.9833333333333334,7.714285714285714,18.816766280443687,0.6516157631296545,2.550432050535454
1207,1275,24,1.9833333333333334,9.642857142857142,23.646730062309807,0.8188751364301701,4.020149359313674
1207,1291,15,1.9833333333333334,11.7,14.679542910968086,0.508345664380513,3.041809430347687
1207,1306,34,1.9833333333333334,13.628571428571428,33.022888501707826,1.1435670917669736,8.011310087020743
1207,1322,24,1.9833333333333334,15.685714285714285,23.092378374079853,0.7996781982855116,6.48864976767247
1207,1337,44,1.9833333333333334,17.614285714285714,41.911947923008796,1.4513910372838916,13.314731892001825
1207,1353,45,1.9833333333333334,19.67142857142857,42.34834909517421,1.4665034045521603,15.148158194239159
1207,1368,50,1.9833333333333334,21.6,46.46097454074947,1.608921688769791,18.4062276342339
1207,1384,49,1.9833333333333334,23.65714285714286,44.85529940016925,1.5533179141108637,19.661874762567237
1207,1400,70,1.9833333333333334,25.714285714285715,63.030039129333886,2.1827005998389035,30.371861738229068
1210,1011,5,2.8333333333333335,-24.3,4.551445652434782,0.22525716298972348,-2.057571793025544
1210,1026,9,2.8333333333333335,-22.37142857142857,8.31244950553676,0.4113942988885049,-3.425483608009778
1210,1042,5,2.8333333333333335,-20.314285714285713,4.683279926220664,0.23178181839935852,-1.735847436072092
1210,1057,9,2.8333333333333335,-18.385714285714286,8.530151695881678,0.42216867290470594,-2.838711971451984
1210,1073,5,2.8333333333333335,-16.32857142857143,4.792460349110754,0.2371853042788578,-1.4057264789550543
1210,1088,42,2.8333333333333335,-14.4,40.63076284487825,2.010871065471145,-10.4449752609239
1210,1104,18,2.8333333333333335,-12.342857142857143,17.562451666124343,0.8691893388508387,-3.8477007898580604
1210,1120,4,2.8333333333333335,-10.285714285714286,3.9309071302542304,0.19454587745400556,-0.7142275791945467
1210,1135,8,2.8333333333333335,-8.357142857142858,7.905374844274063,0.39124762674885505,-1.1627441103193017
1210,1151,12,2.8333333333333335,-6.3,11.91295063874812,0.5895879394463378,-1.3168117330925433
1210,1166,1,2.8333333333333335,-4.371428571428571,0.995871990310851,0.049287043363540665,-0.07622182279888506
1210,1182,33,2.8333333333333335,-2.3142857142857145,32.93277582005021,1.6298873406590397,-1.3325704645819048
1210,1197,12,2.8333333333333335,-0.38571428571428573,11.985058999788993,0.5931566791559325,-0.08078320091186192
1210,1213,12,2.8333333333333335,1.6714285714285715,11.980231177902855,0.5929177437616563,0.3500135327911278
1210,1228,25,2.8333333333333335,3.6,24.92016723314633,1.2333325718533217,1.5697629882328343
1210,1244,25,2.8333333333333335,5.6571428571428575,24.847827127582093,1.2297523627957754,2.464385555061088
1210,1260,35,2.8333333333333335,7.714285714285714,34.64084308694901,1.714421885530824,4.698164303617941
1210,1275,18,2.8333333333333335,9.642857142857142,17.723985105232348,0.877183845871257,3.0151120194852554
1210,1291,14,2.8333333333333335,11.7,13.69236061751174,0.6776533310208758,2.8390221349911746
1210,1306,15,2.8333333333333335,13.628571428571428,14.559833864200831,0.7205857479803397,3.5344015089797396
1210,1322,33,2.8333333333333335,15.685714285714285,31.73221457363605,1.5704699508857507,8.921893430549646
1210,1337,34,2.8333333333333335,17.614285714285714,32.366303755168225,1.6018518767663783,10.288656462001411
1210,1353,49,2.8333333333333335,19.67142857142857,46.08388349452743,2.280753336024798,16.494661144838194
1210,1368,52,2.8333333333333335,21.6,48.289273728054255,2.389901062972553,19.142476739603254
1210,1384,52,2.8333333333333335,23.65714285714286,47.57185020680897,2.3543948086088737,20.86566301333666
1210,1400,77,2.8333333333333335,25.714285714285715,69.2897957529295,3.429245125028095,33.409047912051975
1214,1011,5,3.966666666666667,-24.3,4.546099886876639,0.3152366334769216,-2.057571793025544
1214,1026,5,3.966666666666667,-22.37142857142857,4.612603535779061,0.319848143763893,-1.903046448894321
1214,1042,19,3.966666666666667,-20.314285714285713,17.775561410773587,1.2325967921361247,-6.596220257073949
1214,1057,22,3.966666666666667,-18.385714285714286,20.826991433339895,1.444189707281043,-6.939073707993739
1214,1073,5,3.966666666666667,-16.32857142857143,4.786831506885792,0.33192949710761255,-1.4057264789550543
1214,1088,5,3.966666666666667,-14.4,4.831314427014909,0.33501404129662277,-1.243449435824274
1214,1104,29,3.966666666666667,-12.342857142857143,28.261827892566647,1.9597377317808653,-6.199073494771319
1214,1120,5,3.966666666666667,-10.285714285714286,4.907862749775906,0.3403220715128397,-0.8927844739931834
1214,1135,5,3.966666666666667,-8.357142857142858,4.9350561378842475,0.3422077212639265,-0.7267150689495636
1214,1151,7,3.966666666666667,-6.3,6.941059204186754,0.48130841616749714,-0.7681401776373169
1214,1166,20,3.966666666666667,-4.371428571428571,19.894046367768404,1.3794972304310191,-1.5244364559777013
1214,1182,32,3.966666666666667,-2.3142857142857145,31.89730482864619,2.211829753278458,-1.2921895414127562
1214,1197,28,3.966666666666667,-0.38571428571428573,27.932292042787694,1.9368869862013076,-0.18849413546101113
1214,1213,15,3.966666666666667,1.6714285714285715,14.957700190676002,1.0372000549916123,0.43751691598890974
1214,1228,5,3.966666666666667,3.6,4.978179597902023,0.34519799747829716,0.31395259764656686
1214,1244,10,3.966666666666667,5.6571428571428575,9.927457139548903,0.6883918623723692,0.9857542220244352
1214,1260,5,3.966666666666667,7.714285714285714,4.942879530238501,0.34275021261464306,0.6711663290882773
1214,1275,9,3.966666666666667,9.642857142857142,8.851583961987622,0.6137884337232135,1.5075560097426277
1214,1291,1,3.966666666666667,11.7,0.9768770472338907,0.06773881774570076,0.20278729535651246
1214,1306,17,3.966666666666667,13.628571428571428,16.481764115376112,1.142882022564078,4.005655043510371
1214,1322,24,3.966666666666667,15.685714285714285,23.050868684907027,1.5983982806724166,6.48864976767247
1214,1337,50,3.966666666666667,17.614285714285714,47.54160128327865,3.296639913677624,15.130377150002076
1214,1353,40,3.966666666666667,19.67142857142857,37.57531186561592,2.60555533514691,13.465029505990362
1214,1368,40,3.966666666666667,21.6,37.10196691783762,2.5727325482473775,14.724982107387119
1214,1384,50,3.966666666666667,23.65714285714286,45.68843855814581,3.1681375064951114,20.06313751282371
1214,1400,67,3.966666666666667,25.714285714285715,60.22030783107565,4.175809502649258,29.070210520876394
1217,1011,18,4.816666666666666,-24.3,16.347323416780664,1.3775119925453436,-7.407258454891958
1217,1026,30,4.816666666666666,-22.37142857142857,27.64410654886712,2.3294387297174413,-11.418278693365927
1217,1042,8,4.816666666666666,-20.314285714285713,7.475924252212613,0.6299609453014363,-2.777355897715347
1217,1057,5,4.816666666666666,-18.385714285714286,4.728017138668236,0.3984077480714591,-1.5770622063622133
1217,1073,5,4.816666666666666,-16.32857142857143,4.781380666449548,0.40290444135935405,-1.4057264789550543
1217,1088,18,4.816666666666666,-14.4,17.372926559436642,1.4639347415533293,-4.476417968967386
1217,1104,5,4.816666666666666,-12.342857142857143,4.867180293789948,0.41013437207057973,-1.0688057749605724
1217,1120,5,4.816666666666666,-10.285714285714286,4.90227408915697,0.41309156100906874,-0.8927844739931834
1217,1135,5,4.816666666666666,-8.357142857142858,4.929436511725938,0.41538041049723196,-0.7267150689495636
1217,1151,25,4.816666666666666,-6.3,24.76126896692666,2.0865155770741777,-2.743357777276132
1217,1166,15,4.816666666666666,-4.371428571428571,14.903544527857587,1.255851541878919,-1.143327341983276
1217,1182,14,4.816666666666666,-2.3142857142857145,13.939180003529478,1.1745890829687577,-0.5653329243680808
1217,1197,5,4.816666666666666,-0.38571428571428573,4.98222948247599,0.4198290256298867,-0.03365966704660913
1217,1213,29,4.816666666666666,1.6714285714285715,28.88529073560371,2.434027478505039,0.8458660375785588
1217,1228,23,4.816666666666666,3.6,22.87354998535047,1.9274463845599217,1.4441819491742076
1217,1244,35,4.816666666666666,5.6571428571428575,34.706534057064225,2.9245562508547036,3.450139777085523
1217,1260,1,4.816666666666666,7.714285714285714,0.9874501990920177,0.08320778005127492,0.13423326581765546
1217,1275,19,4.816666666666666,9.642857142857142,18.66539843935535,1.572845262818728,3.182618242789992
1217,1291,69,4.816666666666666,11.7,67.32776167475791,5.673393544230639,13.99232337959936
1217,1306,1,4.816666666666666,13.628571428571428,0.9684115335862873,0.08160348132985354,0.23562676726531598
1217,1322,28,4.816666666666666,15.685714285714285,26.862057013927107,2.2635390967513165,7.570091395617882
1217,1337,29,4.816666666666666,17.614285714285714,27.542729649569033,2.320896175625263,8.775618747001204
1217,1353,45,4.816666666666666,19.67142857142857,42.22408979939663,3.558025285856542,15.148158194239159
1217,1368,37,4.816666666666666,21.6,34.28023944942244,2.888634410966152,13.620608449333085
1217,1384,54,4.816666666666666,23.65714285714286,49.28732540658243,4.153210901691616,21.668188513849607
1217,1400,67,4.816666666666666,25.714285714285715,60.151734017993554,5.0687034733238105,29.070210520876394
1221,1011,5,5.95,-24.3,4.532466528143811,0.47238277678345053,-2.057571793025544
1221,1026,5,5.95,-22.37142857142857,4.598770738379004,0.4792931349182212,-1.903046448894321
1221,1042,29,5.95,-20.314285714285713,27.049756175331463,2.8191799882196364,-10.067915129218132
1221,1057,22,5.95,-18.385714285714286,20.764533094851576,2.1641213985919627,-6.939073707993739
1221,1073,19,5.95,-16.32857142857143,18.135409616741804,1.8901088622865536,-5.3417606200292065
1221,1088,5,5.95,-14.4,4.816825734647035,0.5020192651585654,-1.243449435824274
1221,1104,5,5.95,-12.342857142857143,4.858116056077801,0.5063226254968346,-1.0688057749605724
1221,1120,5,5.95,-10.285714285714286,4.89314449563628,0.5099733599131352,-0.8927844739931834
1221,1135,5,5.95,-8.357142857142858,4.920256333135424,0.5127990101417741,-0.7267150689495636
1221,1151,12,5.95,-6.3,11.863274692222415,1.2364143465946074,-1.3168117330925433
1221,1166,15,5.95,-4.371428571428571,14.875789387879223,1.5503846866288895,-1.143327341983276
1221,1182,28,5.95,-2.3142857142857145,27.826441634022476,2.9001277087125756,-1.1306658487361616
1221,1197,5,5.95,-0.38571428571428573,4.972950986583152,0.5182909528980449,-0.03365966704660913
1221,1213,5,5.95,1.6714285714285715,4.970947782292533,0.5180821749182426,0.14583897199630325
1221,1228,5,5.95,3.6,4.9632504696418716,0.5172799455137645,0.31395259764656686
1221,1244,28,5.95,5.6571428571428575,27.713519561798474,2.888358743248387,2.7601118216684184
1221,1260,12,5.95,7.714285714285714,11.827335033157123,1.232668643048758,1.6107991898118654
1221,1275,7,5.95,9.642857142857142,6.863919090345344,0.7153714515884432,1.1725435631331549
1221,1291,42,5.95,11.7,40.90579406805457,4.263284123206327,8.517066404973523
1221,1306,25,5.95,13.628571428571428,24.165201082694406,2.518545855350977,5.8906691816329
1221,1322,45,5.95,15.685714285714285,43.09076462190858,4.491006148512123,12.166218314385882
1221,1337,44,5.95,17.614285714285714,41.711144772008076,4.347219393209053,13.314731892001825
1221,1353,49,5.95,19.67142857142857,45.891717791706085,4.782927120851043,16.494661144838194
1221,1368,40,5.95,21.6,36.99070134134983,3.8552452856061588,14.724982107387119
1221,1384,51,5.95,23.65714285714286,46.46245135692102,4.842410120817104,20.464400263080186
1221,1400,64,5.95,25.714285714285715,57.35136702854935,5.977274810756942,27.76855930352372
1224,1011,1,6.8,-24.3,0.9049920176742776,0.10791376468118438,-0.4115143586051088
1224,1026,10,6.8,-22.37142857142857,9.182308977914179,1.0949240555944868,-3.806092897788642
1224,1042,5,6.8,-20.314285714285713,4.656027198189876,0.5551976300364417,-1.735847436072092
1224,1057,5,6.8,-18.385714285714286,4.7113963488074395,0.5618000015200003,-1.5770622063622133
1224,1073,5,6.8,-16.32857142857143,4.764572283364051,0.5681408478218177,-1.4057264789550543
1224,1088,5,6.8,-14.4,4.808848353667634,0.5734204495624247,-1.243449435824274
1224,1104,5,6.8,-12.342857142857143,4.850070292175089,0.5783358681350963,-1.0688057749605724
1224,1120,14,6.8,-10.285714285714286,13.678114014374518,1.6310163495396495,-2.4997965271809135
1224,1135,14,6.8,-8.357142857142858,13.75390143589522,1.6400534524223869,-2.034802193058778
1224,1151,13,6.8,-6.3,12.830596287230948,1.5299559790789883,-1.4265460441835884
1224,1166,22,6.8,-4.371428571428571,21.78169086808827,2.597309387035038,-1.6768801015754713
1224,1182,1,6.8,-2.3142857142857145,0.9921556036203506,0.11830739304348244,-0.04038092316914863
1224,1197,5,6.8,-0.38571428571428573,4.964715038928557,0.5920064265283975,-0.03365966704660913
1224,1213,9,6.8,1.6714285714285715,8.932887274036789,1.0651823180620654,0.26251014959334584
1224,1228,35,6.8,3.6,34.68521411241892,4.135961379265166,2.197668183525968
1224,1244,1,6.8,5.6571428571428575,0.9881293516042654,0.11782729155736375,0.09857542220244352
1224,1260,10,6.8,7.714285714285714,9.839789337019491,1.1733238418570522,1.3423326581765547
1224,1275,1,6.8,9.642857142857142,0.9789359168304692,0.11673104083093101,0.1675062233047364
1224,1291,47,6.8,11.7,45.699720357831985,5.44936173179153,9.531002881756086
1224,1306,27,6.8,13.628571428571428,26.055194302594774,3.106893819813484,6.361922716163531
1224,1322,27,6.8,15.685714285714285,25.81163993787651,3.077851720117593,7.29973098863153
1224,1337,33,6.8,17.614285714285714,31.231548676915377,3.724136709195413,9.98604891900137
1224,1353,38,6.8,19.67142857142857,35.53055392410078,4.2367620490300855,12.791778030690844
1224,1368,35,6.8,21.6,32.31325932574383,3.853122894853482,12.884359343963729
1224,1384,53,6.8,23.65714285714286,48.204541934232665,5.748043621670191,21.266925763593136
1224,1400,67,6.8,25.714285714285715,59.9402776502281,7.147445381777559,29.070210520876394
1228,1011,10,7.933333333333334,-24.3,9.026805399384509,1.2579258912294073,-4.115143586051088
